name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
Mahindra Xylo E8 ABS Airbag,2010,12.67607627,40000,Diesel,Individual,Manual,Second Owner,14,2498,112,7
Mahindra Scorpio LX,2013,13.16158409,110000,Diesel,Individual,Manual,First Owner,12.05,2179,120,9
Tata New Safari DICOR 2.2 LX 4x2,2007,12.4292162,80000,Diesel,Individual,Manual,Second Owner,11.57,2179,138.1,7
Maruti Vitara Brezza ZDi,2017,13.49392693,60000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5
Mahindra Bolero 2011-2019 SLX,2015,13.27936713,50000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7
Tata Tiago 1.2 Revotron XZ,2017,12.97154049,25000,Petrol,Individual,Manual,First Owner,23.84,1199,84,5
Maruti Swift VDI,2011,12.36734079,100000,Diesel,Individual,Manual,Second Owner,22.9,1248,74,5
Maruti Swift Dzire VDi,2012,12.76568843,52000,Diesel,Individual,Manual,Third Owner,19.3,1248,73.9,5
Hyundai i10 Era 1.1,2010,11.7829526,80000,Petrol,Individual,Manual,Third Owner,19.81,1086,68.05,5
Honda Amaze VX i-DTEC,2016,13.01700286,85000,Diesel,Individual,Manual,First Owner,25.8,1498,98.6,5
Maruti Vitara Brezza ZDi Plus,2016,13.52782849,83000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5
Maruti Alto 800 LXI,2013,12.20607265,50000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5
Maruti Wagon R LXI Minor,2009,11.73606902,120000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,1061,67,5
Mahindra Bolero 2011-2019 SLE,2014,13.12236338,100000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7
Maruti Swift VDI,2012,12.84792653,70000,Diesel,Individual,Manual,Third Owner,22.9,1248,74,5
Maruti Alto LXi,2008,11.75978554,19000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5
Honda City 1.5 S MT,2009,12.4292162,68600,Petrol,Individual,Manual,Third Owner,17,1497,118,5
Mahindra Bolero Power Plus SLX,2017,13.44444688,60000,Diesel,Individual,Manual,First Owner,16.5,1493,70,7
Mahindra Bolero 2011-2019 SLX,2014,13.38472764,65000,Diesel,Individual,Manual,Second Owner,15.96,2523,62.1,7
Honda City E,2012,13.23569206,40000,Petrol,Individual,Manual,Second Owner,16.8,1497,116.3,5
Maruti Celerio VXI,2016,12.89921983,25000,Petrol,Individual,Manual,First Owner,23.1,998,67.04,5
Maruti Alto K10 LXI,2012,12.20607265,29500,Petrol,Individual,Manual,First Owner,20.92,998,67.1,5
Hyundai Verna VTVT 1.6 SX,2018,13.76421726,13887,Petrol,Individual,Manual,First Owner,17,1591,121.3,5
Maruti Alto 800 VXI,2016,12.61153775,50000,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,5
Renault KWID RXL,2016,12.66032792,30000,Petrol,Individual,Manual,Second Owner,25.17,799,53.3,5
Maruti Alto 800 LXI,2012,12.30138283,100000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5
Chevrolet Aveo 1.4 LS,2011,11.77528973,60000,Petrol,Individual,Manual,Second Owner,14.49,1399,92.7,5
Hyundai i20 Sportz Option 1.4 CRDi,2016,13.29631668,60000,Diesel,Individual,Manual,Second Owner,22.54,1396,88.73,5
Tata Indica Vista TDI LS,2011,11.60823564,120000,Diesel,Individual,Manual,First Owner,19.4,1405,70,5
Ford EcoSport 1.5 Petrol Ambiente BSIV,2017,13.42984808,13500,Petrol,Individual,Manual,First Owner,17,1497,121.36,5
Fiat Grande Punto Active (Diesel),2013,12.54254488,52000,Diesel,Individual,Manual,First Owner,20.3,1248,75,5
Maruti Baleno Delta 1.2,2017,13.18063229,30000,Petrol,Individual,Manual,Second Owner,21.4,1197,83.1,5
Hyundai Xcent 1.2 Kappa SX Option,2017,13.32121424,14000,Petrol,Individual,Manual,First Owner,19.1,1197,82,5
Tata Aria Pure LX 4x2,2014,13.12236338,90000,Diesel,Individual,Manual,Second Owner,15.05,2179,147.9,7
Tata Tigor 1.05 Revotorq XM,2018,13.12236338,50000,Diesel,Individual,Manual,First Owner,24.7,1047,69,5
Mahindra Xylo D2,2010,12.4292162,120000,Diesel,Individual,Manual,Second Owner,13,2489,95,8
Hyundai EON Magna Plus,2018,12.69158046,10000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5
Maruti Baleno Delta 1.2,2018,13.21767356,10000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5
Maruti Ciaz 1.4 Alpha,2018,13.48700649,25000,Petrol,Individual,Manual,First Owner,20.73,1373,91.1,5
Hyundai Verna VTVT 1.6 SX,2017,13.76421726,20000,Petrol,Individual,Manual,First Owner,17,1591,121.3,5
Maruti Swift VDI,2013,12.76568843,60000,Diesel,Individual,Manual,First Owner,22.9,1248,74,5
Hyundai Grand i10 1.2 Kappa Sportz Option,2018,13.12236338,40000,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,5
Maruti Swift Dzire VDi,2012,12.84792653,60000,Diesel,Individual,Manual,First Owner,19.3,1248,73.9,5
Hyundai Xcent 1.2 Kappa AT SX Option,2015,12.84792653,50000,Petrol,Individual,Automatic,First Owner,16.9,1197,82,5
Hyundai Verna VTVT 1.6 SX,2017,13.71015004,20000,Petrol,Individual,Manual,First Owner,17,1591,121.3,5
Maruti Alto 800 VXI,2017,12.59473064,35000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5
Maruti Ciaz VDi Plus SHVS,2016,13.36922346,40000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,5
Tata Nexon 1.5 Revotorq XZ Plus,2018,13.57978822,60000,Diesel,Individual,Manual,First Owner,21.5,1497,108.5,5
Hyundai Verna 1.6 VTVT S Option,2015,13.34550693,20000,Petrol,Individual,Manual,First Owner,17.01,1591,121.4,5
Ford EcoSport 1.5 Petrol Trend BSIV,2017,13.31132948,30000,Petrol,Individual,Manual,Second Owner,17,1497,121.36,5
Maruti Alto K10 VXI,2015,12.66032792,29000,Petrol,Individual,Manual,First Owner,23.95,998,67.05,5
Mahindra XUV300 W6 Diesel BSIV,2019,13.76421726,17000,Diesel,Individual,Manual,First Owner,20,1497,115,5
Maruti Wagon R VXI Plus Optional,2017,12.89921983,50000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5
Hyundai i20 1.4 Magna AT,2018,13.45883561,42000,Petrol,Individual,Automatic,First Owner,18.6,1368,98.63,5
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2011,13.45883561,120000,Diesel,Individual,Manual,Second Owner,12.8,2494,102,8
Mahindra Verito 1.5 D4 BSIV,2012,12.46843691,110000,Diesel,Individual,Manual,First Owner,21.03,1461,65,5
Tata Indigo CR4,2012,12.20607265,90000,Diesel,Individual,Manual,First Owner,23.57,1396,70,5
Maruti Dzire VXI,2020,13.27078338,70000,Petrol,Individual,Manual,First Owner,23.26,1197,88.5,5
Volkswagen Vento IPL II Diesel Trendline,2011,12.70684793,66000,Diesel,Individual,Manual,Second Owner,20.5,1598,105,5
Hyundai Verna Transform CRDi VGT SX ABS,2011,12.89921983,70000,Diesel,Individual,Manual,Third Owner,16.2,1493,110,5
Hyundai Creta 1.6 SX Automatic,2018,14.11561515,5000,Petrol,Individual,Automatic,First Owner,14.8,1591,121.3,5
Mahindra Verito 1.5 D4 BSIV,2014,12.4292162,50000,Diesel,Individual,Manual,Second Owner,21.03,1461,65,5
Skoda Rapid 1.6 MPI Ambition BSIV,2019,13.49392693,25000,Petrol,Individual,Manual,First Owner,15.41,1598,103.2,5
Maruti Swift Dzire Tour LDI,2013,12.61153775,70000,Diesel,Individual,Manual,First Owner,23.4,1248,74,5
Maruti 800 AC,2006,11.69524702,40000,Petrol,Individual,Manual,Second Owner,16.1,796,37,4
Mahindra XUV500 W10 2WD,2016,13.97677871,110000,Diesel,Individual,Manual,First Owner,16,2179,140,7
Tata New Safari DICOR 2.2 VX 4x4,2009,12.84792653,150000,Diesel,Individual,Manual,First Owner,13.93,2179,138,7
Tata Indica Vista TDI LX,2014,12.89921983,45000,Diesel,Individual,Manual,First Owner,19.1,1405,70,5
Tata Indigo LX,2005,11.8493977,90000,Diesel,Individual,Manual,Third Owner,16.1,1405,70,5
Tata New Safari DICOR 2.2 EX 4x2,2011,12.34583024,140000,Diesel,Individual,Manual,Second Owner,11.57,2179,138.1,7
Ford Ikon 1.3 CLXi,2003,11.60823564,83000,Petrol,Individual,Manual,Second Owner,13.8,1299,70,5
Volkswagen Jetta 2.0L TDI Highline AT,2011,13.21767356,106000,Diesel,Individual,Automatic,Second Owner,16.96,1968,138.1,5
Chevrolet Aveo U-VA 1.2 LS,2008,11.91839057,60000,Petrol,Individual,Manual,Fourth & Above Owner,15.26,1150,74.9,5
Maruti Omni E MPI STD BS IV,2017,12.4874851,40000,Petrol,Individual,Manual,Second Owner,16.8,796,34.2,8
Hyundai i20 1.2 Asta,2011,12.61153775,138000,Petrol,Individual,Manual,Third Owner,17,1197,80,5
Maruti Alto 800 LXI,2015,12.54254488,80000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5
Hyundai Getz GLS,2005,11.77528973,50000,Petrol,Individual,Manual,Second Owner,15.3,1341,83,5
Chevrolet Sail 1.2 LS ABS,2015,12.76568843,50000,Petrol,Individual,Manual,First Owner,18.2,1199,82.4,5
Maruti Ritz VXi,2009,12.20607265,120000,Petrol,Individual,Manual,First Owner,18.5,1197,85.8,5
Maruti Swift VXI,2018,13.21767356,24400,Petrol,Individual,Manual,First Owner,22,1197,81.8,5
Mahindra Bolero 2011-2019 SLX,2013,12.89921983,60000,Diesel,Individual,Manual,Second Owner,15.96,2523,62.1,7
Maruti Ritz VXi (ABS) BS IV,2010,12.04355372,120000,Petrol,Individual,Manual,Second Owner,18.5,1197,85.8,5
Hyundai Verna 1.4 CRDi,2015,13.30468493,60000,Diesel,Individual,Manual,Second Owner,24.8,1396,88.7,5
Maruti Alto LXi,2011,11.77528973,100000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5
Maruti 800 AC,2011,11.51292546,120000,Petrol,Individual,Manual,Second Owner,16.1,796,37,4
Renault KWID RXT,2016,12.64432758,27500,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5
Maruti 800 AC,2007,10.46310334,10000,Petrol,Individual,Manual,First Owner,16.1,796,37,4
Hyundai i20 Magna,2010,12.20607265,120000,Petrol,Individual,Manual,Third Owner,18.5,1197,80,5
Hyundai i20 Sportz 1.4 CRDi,2015,13.38472764,80000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5
Tata Indigo eCS GLS,2013,12.25486281,120000,Petrol,Individual,Manual,First Owner,15.64,1193,64.1,5
Hyundai Xcent 1.1 CRDi S Option,2015,13.14216404,90000,Diesel,Individual,Manual,First Owner,24.4,1120,71.01,5
Ford Figo Diesel Celebration Edition,2013,12.34583024,70000,Diesel,Individual,Manual,First Owner,20,1399,68.1,5
Renault Duster 110PS Diesel RxZ,2014,12.92391,188000,Diesel,Individual,Manual,Second Owner,19.01,1461,108.45,5
Chevrolet Spark 1.0 LT,2011,11.77528973,67840,Petrol,Individual,Manual,First Owner,18,995,62,5
Tata Nano CX,2013,11.46163217,30000,Petrol,Individual,Manual,First Owner,25.4,624,37.48,4
Maruti Alto 800 LXI,2016,12.32385568,35000,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,5
Maruti Vitara Brezza VDi Option,2017,13.56061831,100000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5
Maruti Wagon R VXI BS IV,2017,12.94800999,30000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5
Hyundai Grand i10 Sportz Celebration Edition,2016,13.08154138,70000,Petrol,Individual,Manual,First Owner,18.9,1197,82,5
Mahindra Bolero SLE,2010,12.46843691,380000,Diesel,Individual,Manual,Second Owner,13.6,2523,63,7
Volkswagen Polo 2015-2019 1.2 MPI Highline Plus,2018,13.30468493,15000,Petrol,Individual,Manual,First Owner,16.2,1199,74,5
Ford Ikon 1.4 TDCi DuraTorq,2009,11.8493977,140000,Diesel,Individual,Manual,Second Owner,13.8,1399,68,5
Maruti Omni 8 Seater BSII,2010,11.77528973,120000,Petrol,Individual,Manual,Third Owner,19.7,796,35,8
Maruti Swift VDI BSIV,2007,12.18075484,112880,Diesel,Dealer,Manual,First Owner,25.2,1248,74,5
Tata Indica Vista TDI LS,2013,12.25486281,135000,Diesel,Dealer,Manual,Second Owner,19.4,1405,70,5
Maruti Wagon R LX,2006,11.77528973,80000,Petrol,Individual,Manual,Third Owner,18.9,998,67.1,5
Chevrolet Beat LT,2012,11.85651517,128000,Petrol,Individual,Manual,Third Owner,18.6,1199,79.4,5
Mahindra Bolero SLE BSIII,2011,12.54254488,120000,Diesel,Individual,Manual,First Owner,13.6,2523,63,7
Maruti SX4 ZXI AT Leather,2010,12.76568843,30000,Petrol,Individual,Automatic,First Owner,12.6,1586,103.2,5
Tata Nexon 1.2 Revotron XM,2018,13.26212532,70000,Petrol,Individual,Manual,First Owner,17,1198,108.5,5
Hyundai i20 Sportz Option 1.2,2015,13.21767356,41000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5
Maruti Alto LX,2006,11.69524702,30000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5
Maruti Alto K10 VXI,2015,12.67607627,30000,Petrol,Individual,Manual,First Owner,23.95,998,67.05,5
Hyundai Accent Executive,2011,12.4292162,35000,Petrol,Individual,Manual,First Owner,16.36,1495,93.7,5
Maruti SX4 Zxi BSIII,2010,12.61153775,22000,Petrol,Individual,Manual,First Owner,15,1586,104.68,5
Maruti Wagon R VXI,2006,12.4292162,70000,Petrol,Individual,Manual,First Owner,18.9,998,67.1,5
Mahindra Bolero 2011-2019 mHAWK D70 ZLX,2018,13.52782849,70000,Diesel,Individual,Manual,First Owner,16.5,1493,70,7
Mahindra Scorpio 2.6 CRDe,2005,11.92503512,200000,Diesel,Individual,Manual,Second Owner,10.5,2179,120,8
Tata Safari DICOR 2.2 EX 4x2,2011,12.61153775,120000,Diesel,Individual,Manual,First Owner,13.93,2179,138.03,7
Maruti Ignis 1.2 Zeta BSIV,2019,13.26559755,3000,Petrol,Individual,Manual,First Owner,20.89,1197,81.8,5
Maruti Alto K10 2010-2014 VXI,2012,12.34583024,50000,Petrol,Individual,Manual,First Owner,20.92,998,67.1,5
Mahindra Bolero 2011-2019 ZLX,2013,13.12236338,50000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7
Honda Jazz VX CVT,2019,13.64115717,1500,Petrol,Individual,Automatic,First Owner,18.2,1199,88.7,5
Volkswagen Vento 1.5 TDI Highline,2017,13.71015004,74000,Diesel,Individual,Manual,First Owner,22.27,1498,108.6,5
Honda Jazz 1.2 V i VTEC,2017,13.38472764,25000,Petrol,Individual,Manual,First Owner,18.7,1199,88.7,5
Honda Jazz 1.5 VX i DTEC,2016,13.38472764,61915,Diesel,Individual,Manual,First Owner,27.3,1498,98.6,5
Hyundai EON Era Plus,2016,12.4292162,110000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5
Volkswagen Polo 1.5 TDI Comfortline,2016,13.21767356,70000,Diesel,Individual,Manual,First Owner,20.14,1498,88,5
Maruti Swift Ldi BSIII,2007,12.4292162,150000,Diesel,Individual,Manual,Fourth & Above Owner,17.8,1248,75,5
Mahindra Quanto C4,2013,12.76568843,110000,Diesel,Individual,Manual,Second Owner,17.21,1493,100,7
Chevrolet Beat Diesel LT,2014,12.1281111,90000,Diesel,Individual,Manual,Second Owner,25.44,936,56.3,5
Ford Figo Petrol Titanium,2010,12.34583024,120000,Petrol,Individual,Manual,Third Owner,15.6,1196,70,5
Toyota Innova 2.5 G (Diesel) 8 Seater,2016,13.81551056,65000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,8
Maruti Wagon R VXI 1.2,2019,13.10216067,10000,Petrol,Individual,Manual,First Owner,20.52,1197,81.8,5
Hyundai i10 Sportz,2009,11.91839057,80000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5
Maruti Ertiga VDI,2013,13.30468493,184000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,7
Maruti Wagon R CNG LXI,2013,12.50617724,80000,CNG,Individual,Manual,Second Owner,32.52,998,58.33,5
Maruti Zen LXi - BS III,2005,11.00209984,70000,Petrol,Individual,Manual,Second Owner,17.3,993,60,5
Maruti SX4 Zxi with Leather BSIII,2008,11.91839057,89000,Petrol,Individual,Manual,Second Owner,15.6,1586,104.68,5
Maruti Swift VDI,2013,13.17115354,69000,Diesel,Individual,Manual,Second Owner,22.9,1248,74,5
Tata Indica V2 eLX,2012,11.32659589,90000,Diesel,Individual,Manual,Second Owner,25,1396,69,5
Hyundai EON Era Plus,2017,12.61153775,8000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5
Hyundai i20 1.2 Sportz,2012,12.76568843,35000,Petrol,Individual,Manual,First Owner,17,1197,80,5
Hyundai i20 1.2 Sportz,2011,12.61153775,45000,Petrol,Individual,Manual,First Owner,17,1197,80,5
Fiat Linea 1.3 Active,2011,12.4292162,30000,Diesel,Individual,Manual,First Owner,20.4,1248,91.2,5
Maruti 800 Std,2006,11.65267871,59000,Petrol,Individual,Manual,Second Owner,16.1,796,37,4
Maruti Ertiga VXI Petrol,2018,13.45883561,6200,Petrol,Individual,Manual,First Owner,19.34,1462,103,7
Maruti Celerio X ZXI,2020,12.4292162,120000,Petrol,Individual,Manual,Second Owner,21.63,998,67,5
Maruti Wagon R LXI BS IV,2016,12.76568843,70000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5
Maruti Omni 5 Str STD,1998,11.28978191,70000,Petrol,Individual,Manual,First Owner,14,796,35,5
Mahindra Scorpio S2 7 Seater,2017,13.65299163,110000,Diesel,Individual,Manual,First Owner,15.4,2523,75,7
Chevrolet Spark 1.0 LS,2007,11.40756495,93000,Petrol,Individual,Manual,Third Owner,18,995,62,5
Chevrolet Tavera Neo 3 10 Seats BSIII,2014,13.30468493,110000,Diesel,Individual,Manual,First Owner,13.58,2499,72.4,10
Maruti Alto LX,2007,11.81303006,57000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5
Hyundai Accent GLE,2005,11.91839057,120000,Petrol,Individual,Manual,First Owner,13.2,1495,94,5
Maruti Swift Dzire VXi,2009,12.3883942,120000,Petrol,Individual,Manual,First Owner,17.5,1298,85.8,5
Hyundai Creta 1.4 E Plus,2018,13.75999785,60000,Diesel,Individual,Manual,First Owner,22.1,1396,88.7,5
Tata Indigo eCS LX BSIV,2011,12.27839331,70000,Diesel,Individual,Manual,First Owner,23.03,1396,69,5
Maruti Zen LX,1999,10.81977828,60000,Petrol,Individual,Manual,Fourth & Above Owner,17.3,993,60,5
Honda Amaze S i-Dtech,2013,12.64432758,100000,Diesel,Individual,Manual,First Owner,25.8,1498,98.6,5
Hyundai i10 Magna,2008,12.30138283,35000,Petrol,Individual,Manual,First Owner,20.36,1197,78.9,5
Maruti Swift Vdi BSIII,2008,12.18075484,90000,Diesel,Individual,Manual,Third Owner,17.8,1248,75,5
Hyundai i20 Active 1.2 S,2015,13.38472764,50000,Petrol,Individual,Manual,First Owner,17.19,1197,81.86,5
Hyundai i20 1.2 Magna,2011,12.76568843,98000,Petrol,Individual,Manual,First Owner,18.5,1197,80,5
Hyundai i20 Asta 1.2,2013,12.79385931,30000,Petrol,Individual,Manual,First Owner,18.5,1197,82.85,5
Hyundai Elantra SX,2013,13.21767356,50000,Petrol,Individual,Manual,Second Owner,16.3,1797,147.5,5
Hyundai Grand i10 Sportz,2016,13.10216067,26000,Petrol,Individual,Manual,First Owner,18.9,1197,82,5
Maruti Alto LXi,2011,12.18075484,46000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5
Maruti Alto LX,2010,11.73606902,80000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,5
Tata Tiago 1.2 Revotron XZ,2019,13.03897959,10000,Petrol,Individual,Manual,First Owner,23.84,1199,84,5
Maruti Alto 800 LXI,2015,12.52452638,16700,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5
Maruti Swift Dzire VDI,2018,13.42984808,70000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5
Maruti Swift Dzire ZXI,2015,13.30468493,7967,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5
Maruti Swift ZXI Plus,2018,13.48700649,20000,Petrol,Individual,Manual,First Owner,22,1197,81.8,5
Renault KWID RXT Optional,2016,12.78268601,9656,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5
Hyundai i10 Era,2011,12.32385568,50000,Petrol,Individual,Manual,First Owner,19.81,1086,68.05,5
Ford Freestyle Titanium Diesel BSIV,2019,13.49392693,17000,Diesel,Individual,Manual,First Owner,24.4,1498,98.63,5
Chevrolet Spark 1.0 LT,2010,11.77528973,50000,Petrol,Individual,Manual,First Owner,18,995,62,5
Renault KWID RXT,2015,12.61153775,10000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5
Hyundai i20 Sportz 1.2,2013,12.89921983,43000,Petrol,Individual,Manual,Second Owner,18.5,1197,82.85,5
Hyundai Verna 1.4 CX,2013,13.21767356,50000,Diesel,Individual,Manual,First Owner,23.5,1396,88.7,5
Maruti Wagon R PRIMEA,2006,11.69524702,90000,Petrol,Individual,Manual,Second Owner,18.9,998,67,5
Mahindra Xylo D4 BSIV,2012,12.92391,100000,Diesel,Individual,Manual,Second Owner,14,2498,112,8
Mahindra Bolero 2011-2019 SLX,2012,13.01700286,120000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7
Maruti Swift VXI,2019,13.32121424,5000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5
Ford Ecosport 1.5 DV5 MT Trend,2016,13.15192218,68609,Diesel,Dealer,Manual,First Owner,22.7,1498,89.84,5
Ford EcoSport 1.5 TDCi Titanium BE BSIV,2018,13.73754902,33360,Diesel,Dealer,Manual,First Owner,22.77,1498,98.59,5
Nissan Kicks XL BSIV,2019,13.66468767,14317,Petrol,Dealer,Manual,First Owner,14.23,1498,104.55,5
Ford Figo Diesel Titanium,2012,12.32385568,87237,Diesel,Dealer,Manual,Second Owner,20,1399,68.05,5
Ford Figo 1.5D Trend MT,2017,13.12236338,62960,Diesel,Dealer,Manual,First Owner,25.83,1498,99,5
Maruti Swift Dzire AMT VXI,2017,13.30468493,26634,Petrol,Dealer,Automatic,First Owner,21.21,1197,81.8,5
Ford Figo Diesel EXI Option,2012,12.18075484,163720,Diesel,Dealer,Manual,First Owner,18.5,1399,68,5
Maruti Wagon R LXI BS IV,2012,12.4874851,67998,Petrol,Dealer,Manual,First Owner,18.9,998,67.1,5
Ford Freestyle Trend Diesel,2018,13.38472764,20706,Diesel,Dealer,Manual,First Owner,23.8,1499,98.63,5
Ford Figo Aspire 1.5 TDCi Trend,2015,12.9360338,100581,Diesel,Dealer,Manual,First Owner,25.83,1498,99,5
Renault Duster 85PS Diesel RxE Adventure,2015,13.30468493,67303,Diesel,Dealer,Manual,First Owner,20.45,1461,83.8,5
Maruti Ritz VXi,2013,12.7367009,79139,Petrol,Dealer,Manual,First Owner,18.5,1197,85.8,5
Hyundai Grand i10 CRDi Sportz,2014,12.76568843,84784,Diesel,Dealer,Manual,First Owner,24,1120,70,5
Maruti Ritz LDi,2012,12.4874851,130376,Diesel,Dealer,Manual,Second Owner,23.2,1248,73.94,5
Tata Safari DICOR 2.2 EX 4x2,2017,13.34550693,72000,Diesel,Individual,Manual,First Owner,13.93,2179,138.03,7
Hyundai Verna CRDi SX,2008,12.40901349,127000,Diesel,Individual,Manual,Second Owner,16.8,1493,110,5
Maruti Swift VDI BSIV,2014,12.88664104,120000,Diesel,Individual,Manual,First Owner,25.2,1248,74,5
Hyundai Xcent 1.1 CRDi S,2014,13.10216067,100000,Diesel,Individual,Manual,First Owner,24.4,1120,71,5
Maruti Ertiga SHVS VDI,2018,13.76946662,40000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,7
Maruti Swift Dzire VDI,2013,13.17115354,110000,Diesel,Individual,Manual,First Owner,23.4,1248,74,5
Tata Tigor 1.2 Revotron XZ Option,2017,13.21767356,30000,Petrol,Individual,Manual,First Owner,20.3,1199,84,5
Tata Indica Vista TDI LX,2014,12.20607265,120000,Diesel,Individual,Manual,Second Owner,19.1,1405,70,5
Ford Figo Aspire 1.2 Ti-VCT Trend,2017,13.12236338,15000,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,5
Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,2016,13.62313867,33500,Diesel,Individual,Manual,First Owner,23.65,1248,88.5,5
Mahindra Quanto C6,2012,12.4292162,70000,Diesel,Individual,Manual,First Owner,17.21,1493,100,7
Toyota Etios Cross 1.2L G,2015,13.30468493,10000,Petrol,Individual,Manual,First Owner,18.16,1197,78.8,5
Mahindra Scorpio S7 120,2018,14.09692302,22053,Diesel,Individual,Manual,First Owner,16.36,2179,120,7
Mahindra TUV 300 T8,2016,13.55414579,50000,Diesel,Individual,Manual,First Owner,18.49,1493,100,7
Chevrolet Optra Magnum 2.0 LS,2011,12.9360338,78432,Diesel,Individual,Manual,First Owner,16.52,1991,123.7,5
Hyundai Santa Fe 4X4,2011,13.62313867,125000,Diesel,Individual,Manual,Second Owner,14.66,2199,194.3,7
Ford Aspire Trend Diesel BSIV,2018,13.18063229,80000,Diesel,Individual,Manual,First Owner,26.1,1498,99.23,5
Toyota Innova 2.5 V Diesel 8-seater,2006,12.95984445,270000,Diesel,Individual,Manual,Third Owner,12.8,2494,102,8
Honda Brio V MT,2012,12.64432758,50000,Petrol,Individual,Manual,Second Owner,19.4,1198,86.8,5
Tata Tiago 1.2 Revotron XZ,2017,12.87390202,20000,Petrol,Individual,Manual,First Owner,23.84,1199,84,5
Hyundai Creta 1.6 VTVT E Plus,2016,13.45883561,30000,Petrol,Individual,Manual,First Owner,15.29,1591,121.3,5
Hyundai i10 Sportz 1.1L,2010,12.20607265,70000,Petrol,Individual,Manual,Second Owner,19.81,1086,68.05,5
Toyota Innova 2.5 G (Diesel) 8 Seater,2013,13.86430072,7200,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,8
Honda City i DTEC SV,2014,13.27078338,97000,Diesel,Individual,Manual,First Owner,26,1498,98.6,5
Hyundai EON Era Plus,2014,12.20607265,60000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,5
Chevrolet Sail Hatchback Petrol LS ABS,2013,12.40901349,25000,Petrol,Individual,Manual,First Owner,18.2,1199,84.8,5
Hyundai i10 Sportz,2010,12.25486281,94000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5
Maruti Baleno LXI,2005,10.81977828,90000,Petrol,Individual,Manual,Second Owner,15.4,1590,94,5
Chevrolet Captiva 2.2 LTZ AWD,2012,13.45883561,50000,Diesel,Individual,Automatic,Second Owner,12.12,2231,184,7
Tata Bolt Quadrajet XE,2019,13.39999511,35000,Diesel,Individual,Manual,First Owner,22.95,1248,74,5
Honda City i VTEC V,2015,13.3534751,117500,Petrol,Individual,Manual,Second Owner,17.4,1497,117.3,5
Mahindra XUV500 W8 2WD,2012,13.76421726,78500,Diesel,Individual,Manual,First Owner,15.1,2179,140,7
Hyundai i20 1.2 Asta Dual Tone,2018,13.51440547,8000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5
Ford Figo Aspire 1.2 Ti-VCT Sports Edition,2017,13.25339164,25000,Petrol,Individual,Manual,First Owner,18.12,1196,86.8,5
Hyundai Verna 1.6 SX,2012,13.01700286,60000,Diesel,Individual,Manual,Third Owner,22.32,1582,126.32,5
